Date,snp_close,btc_close
2021-08-04,4416.2,38255.05
2021-08-05,4429.8,39772.47169848371
2021-08-06,4440.8,40849.95098301631
2021-08-09,4439.4,43780.238803238186
2021-08-10,4445.2,46265.47427585355
2021-08-11,4449.4,45543.91666426932
2021-08-12,4461.8,45670.172
2021-08-13,4468.4,44434.3365
2021-08-16,4480.3,47057.4919
2021-08-17,4462.1,45906.7425
2021-08-18,4454.3,44569.5598
2021-08-19,4418.6,44856.0324
2021-08-20,4444.4,46666.8683
2021-08-23,4489.9,49223.9471176446
2021-08-24,4492.8,49486.4032
2021-08-25,4501.7,47734.0314
2021-08-26,4495.9,48939.9658
2021-08-27,4513.3,47130.6185
2021-08-30,4537.4,48876.7643
2021-08-31,4531.4,47020.6765
2021-09-01,4537.1,47225.2696
2021-09-02,4545.9,48744.6322
2021-09-03,4541.4,49318.558
2021-09-07,4535.4,52639.2443
2021-09-08,4521.8,46881.9971
2021-09-09,4529.9,45972.9463
2021-09-10,4520.5,46319.9526
2021-09-13,4493,46058.0015
2021-09-14,4485.7,44990.02141158837
2021-09-15,4486.9,47012.9104
2021-09-16,4485.9,48092.9703
2021-09-17,4471.5,47816.2504
2021-09-20,4402.9,47201.5018
2021-09-21,4394.9,42966.0101
2021-09-22,4416.8,40538.4344
2021-09-23,4465.4,43579.97297674777
2021-09-24,4463.1,44844.228
2021-09-27,4457.3,43209.8655
2021-09-28,4419.5,42278.30996239119
2021-09-29,4385.6,40909.3105
2021-09-30,4382.6,41543.6399
2021-10-01,4375.2,43797.59220008473
2021-10-04,4355.5,48144.1454
2021-10-05,4369.2,49176.7613
2021-10-06,4365.6,51545.04936807646
2021-10-07,4430,55385.44519072514
2021-10-08,4412,53809.13817103468
2021-10-11,4415.9,54689.5713
2021-10-12,4374.9,57399.22646992879
2021-10-13,4372.9,56035.85825462517
2021-10-14,4439.7,57357.6067
2021-10-15,4475.8,57351.7384160736
2021-10-18,4488.8,61582.25155249131
2021-10-19,4520.4,61953.2331
2021-10-20,4540.9,64217.0839
2021-10-21,4551.4,65986.30293718613
2021-10-22,4559.7,62298.093007718286
2021-10-25,4572.6,60849.61639879063
2021-10-26,4598.5,62989.54469958203
2021-10-27,4584.6,60396.4959
2021-10-28,4597.6,58681.0152
2021-10-29,4608.1,60438.74647138581
2021-11-01,4620.3,61339.97564069321
2021-11-02,4635.1,61065.0310670206
